name,pos,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%
Ruslan Malinovskyi,CM,1704,0,2,0,1,9,3,0,0,5,4,1,18,2,3,0,0,0,0,0,0,0
Steven Zuber,"LW,WB,LM",1704,0,8,0,0,6,4,0,0,2,8,2,24,4,6,0,1,0,0,0,0,0
Marcelo Brozović,CM,1698,0,0,0,0,1,0,4,0,7,1,0,0,2,6,0,0,0,0,0,0,0
Gerard Moreno,RW,1662,0,4,0,1,15,5,0,0,2,6,0,20,4,6,0,1,0,0,0,0,0
Ben Davies,LB,1650,0,0,0,0,3,0,2,0,3,2,0,10,6,9,0,0,0,0,0,0,0
Manuel Locatelli,LM,1638,2,0,0,0,5,3,0,0,7,0,0,4,14,6,0,0,0,0,0,0,0
Kevin De Bruyne,"AM,CM",1626,1,4,0,0,5,3,0,0,5,1,0,30,2,0,0,0,0,0,0,0,0
Milan Škriniar,CB,1620,1,0,0,0,1,1,2,0,3,2,0,0,4,12,0,0,0,0,0,0,0
Attila Szalai,CB,1620,0,0,0,0,0,0,0,0,3,1,0,0,8,3,0,0,0,0,0,0,0
Andrew Robertson,WB,1620,0,0,0,0,1,1,0,0,4,0,1,66,2,9,0,0,0,0,0,0,0
Willi Orban,CB,1620,0,0,0,0,0,0,2,0,1,1,0,0,4,0,0,0,1,0,0,0,0
John McGinn,CM,1620,0,0,0,0,7,1,2,0,4,7,0,4,8,12,0,0,0,0,0,0,0
Burak Yılmaz,FW,1620,0,0,0,0,10,1,2,0,7,2,4,8,4,0,0,0,0,0,0,0,0
Bartosz Bereszyński,CB,1620,0,0,0,0,2,1,0,0,2,2,0,12,4,27,0,0,0,0,0,0,0
Paulus Arajuuri,CB,1620,0,0,0,0,1,0,0,0,2,3,0,0,0,15,0,0,1,0,0,0,0
Juraj Kucka,DM,1620,0,0,0,0,5,1,0,0,10,7,2,0,10,24,1,0,0,0,0,0,0
Kamil Glik,CB,1620,0,0,0,0,1,0,2,0,6,4,0,0,2,18,0,0,0,0,0,0,0
Robert Lewandowski,FW,1620,3,0,0,0,12,4,2,0,5,3,0,12,0,3,0,0,0,0,0,0,0
Çağlar Söyüncü,CB,1620,0,0,0,0,1,0,4,0,6,0,0,4,4,0,0,0,0,0,0,0,0
Aleksandr Golovin,AM,1620,0,0,0,0,5,1,0,0,4,5,1,36,8,3,0,0,0,0,0,0,0
Chris Mepham,CB,1620,0,0,0,0,1,0,2,0,2,1,0,0,6,15,0,0,0,0,0,0,0
Scott McTominay,CB,1620,0,0,0,0,3,0,0,0,1,3,0,4,6,18,0,0,0,0,0,0,0
Elif Elmas,"AM,LW",1620,0,0,0,0,6,0,0,0,2,2,0,2,6,6,0,0,0,0,0,0,0
Stefan Ristovski,RB,1620,0,0,0,0,2,0,2,0,3,2,0,14,8,24,0,0,0,0,0,0,0
Endre Botka,CB,1620,0,0,0,0,0,0,4,0,4,3,0,0,8,18,0,0,0,0,0,0,0
Daniel O'Shaughnessy,CB,1620,0,0,0,0,0,0,2,0,1,0,0,6,2,24,0,0,0,0,0,0,0
Glen Kamara,CM,1620,0,0,0,0,1,1,2,0,3,8,0,2,4,30,0,0,0,0,0,0,0
Georgi Dzhikiya,CB,1620,0,0,0,0,0,0,2,0,2,2,0,2,8,3,0,0,0,0,0,0,0
Zeki Çelik,RB,1620,0,0,0,0,1,0,2,0,6,2,0,12,2,30,0,0,1,0,0,0,0
Ľubomír Šatka,CB,1620,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0
Ezgjan Alioski,LB,1620,1,0,0,1,2,1,4,0,5,4,0,28,10,3,0,0,0,0,0,0,0
Bukayo Saka,"RW,AM,DM",1614,0,0,0,0,0,0,0,0,3,10,0,8,4,9,0,0,0,0,0,0,0
Robin Lod,"CM,FW",1614,0,0,0,0,2,0,2,0,3,3,1,6,12,3,0,0,0,0,0,0,0
Daniel Wass,"RW,RB,WB",1608,0,0,0,0,4,2,4,0,3,6,0,30,8,15,0,0,0,0,0,0,0
Ádám Nagy,CM,1602,0,0,0,0,0,0,0,0,2,1,0,0,10,12,0,0,0,0,0,0,0
Visar Musliu,CB,1590,0,0,0,0,1,0,2,0,5,1,0,0,6,9,0,0,0,0,0,0,0
Hakan Çalhanoğlu,LM,1590,0,2,0,0,1,1,4,0,7,4,0,24,4,6,0,0,0,0,0,0,0
Artem Dzyuba,FW,1584,1,2,1,1,4,1,0,0,8,3,7,0,0,0,0,0,0,0,0,0,0
Joona Toivio,CB,1584,0,0,0,0,1,0,0,0,0,3,0,2,6,18,0,0,0,0,0,0,0
Darko Velkovski,CB,1584,0,0,0,0,1,0,2,0,4,1,0,0,4,15,0,0,0,0,0,0,0
Jan Bednarek,CB,1584,0,0,0,0,1,0,0,0,1,2,0,0,8,18,0,0,0,0,0,0,0
Piotr Zieliński,AM,1584,0,2,0,0,7,2,0,0,4,5,1,38,4,3,0,0,0,0,0,0,0
Attila Fiola,LB,1584,1,0,0,0,2,1,2,0,9,0,0,4,14,3,0,0,0,0,0,0,0
Tomáš Hubočan,LB,1578,0,0,0,0,0,0,2,0,5,0,0,6,8,9,0,0,0,0,0,0,0
Ivan Perišić,LW,1560,2,2,0,0,7,3,0,0,1,1,2,18,4,9,0,0,0,0,0,0,0
Nélson Semedo,RB,1548,0,0,0,0,0,0,0,0,3,3,0,18,18,3,0,0,1,0,0,0,0
Lyndon Dykes,FW,1548,0,0,0,0,6,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
Marek Hamšík,AM,1530,0,2,0,0,4,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0
Pablo Sarabia,LW,1518,2,2,0,0,8,4,0,0,1,2,1,42,4,6,0,0,0,0,0,0,0
Jukka Raitala,"RB,LB",1518,0,0,0,0,0,0,0,0,5,1,0,12,4,9,0,0,0,0,0,0,0
Arijan Ademi,DM,1506,0,0,0,0,1,1,0,0,0,3,1,0,8,21,0,0,0,0,0,0,0
Stephen O'Donnell,WB,1506,0,0,0,0,1,1,2,0,4,4,0,14,2,6,0,0,0,0,0,0,0
Serge Gnabry,FW,1494,0,0,0,0,4,1,0,0,4,0,1,6,4,0,0,0,0,0,0,0,0
Jere Uronen,LB,1494,0,2,0,0,0,0,0,0,2,3,0,10,2,18,0,0,0,0,0,0,0
Goran Pandev,FW,1488,1,0,0,0,2,1,0,0,1,8,1,0,0,3,0,1,0,0,0,0,0
Eric García,CB,1488,0,0,0,0,1,0,0,0,2,2,0,0,2,12,0,0,0,0,0,0,0
Vladimír Darida,RM,1482,0,0,0,0,2,1,0,0,1,6,0,28,4,3,0,0,0,0,0,0,0
László Kleinheisler,CM,1482,0,0,0,0,1,1,0,0,1,10,0,10,6,12,0,0,0,0,0,0,0
Marcos Llorente,RB,1482,0,0,0,0,4,1,0,0,5,1,0,18,4,0,0,0,0,0,0,0,0
Jakub Jankto,LM,1476,0,0,0,0,3,0,0,0,1,1,1,40,0,0,0,0,0,0,0,0,0
Christoph Baumgartner,LW,1476,1,0,0,0,3,2,0,0,5,7,0,2,8,0,0,0,0,0,0,0,0
Joel Pohjanpalo,FW,1452,1,0,0,0,7,1,0,0,4,2,1,0,0,3,0,0,0,0,0,0,0
Roman Zobnin,CM,1452,0,0,0,0,3,0,0,0,5,6,0,2,10,15,0,0,0,0,0,0,0
Bernardo Silva,RW,1440,0,0,0,0,0,0,0,0,5,3,0,12,4,3,0,0,0,0,0,0,0
Kamil Jóźwiak,WB,1440,0,2,0,0,0,0,2,0,5,6,0,26,6,3,0,0,0,0,0,0,0
Roland Sallai,FW,1440,0,2,0,0,8,3,0,0,5,8,0,14,0,0,0,0,0,0,0,0,0
Danilo Pereira,CM,1428,0,0,0,0,1,1,0,0,4,5,0,0,4,15,0,1,0,0,0,0,0
Teemu Pukki,FW,1428,0,0,0,0,4,1,0,0,4,2,0,4,0,3,0,0,0,0,0,0,0
Marten de Roon,CM,1410,0,0,0,0,1,0,2,0,2,0,0,4,2,12,0,0,0,0,0,0,0
Enis Bardhi,DM,1404,0,0,0,0,5,1,0,0,2,6,0,6,4,6,0,0,0,0,0,0,0
Francesco Acerbi,CB,1392,0,2,0,0,1,0,0,0,0,3,0,0,2,18,0,0,0,0,0,0,0
Peter Pekarík,RB,1392,0,0,0,0,1,0,0,0,2,2,0,6,4,6,0,0,0,0,0,0,0
Matthijs de Ligt,CB,1386,0,0,0,0,4,0,0,2,3,0,0,0,8,3,0,0,0,0,0,0,0
Róbert Mak,LW,1380,0,0,0,0,1,0,0,0,0,2,1,14,0,3,0,0,0,0,0,0,0
Petr Ševčík,"LW,RM",1368,0,0,0,0,1,0,0,0,0,4,0,20,4,6,0,0,0,0,0,0,0
András Schäfer,CM,1368,1,0,0,0,2,1,0,0,4,2,0,0,2,18,0,0,0,0,0,0,0
Rodri,RM,1362,0,0,0,0,3,1,2,0,3,3,0,4,6,9,0,0,0,0,0,0,0
Eden Hazard,AM,1362,0,2,0,0,5,2,0,0,1,6,0,2,0,3,0,0,0,0,0,0,0
Andrej Kramarić,FW,1356,0,2,0,0,4,2,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0
Florian Grillitsch,DM,1350,0,0,0,0,1,0,0,0,2,4,0,2,4,21,0,0,0,0,0,0,0
Igor Diveev,CB,1350,0,0,0,0,1,0,2,0,3,2,0,0,6,9,0,0,0,0,0,0,0
Merih Demiral,CB,1350,0,0,0,0,3,1,0,0,1,1,0,0,0,15,1,0,0,0,0,0,0
Kasper Dolberg,FW,1344,3,0,0,0,7,5,0,0,6,6,1,0,2,0,0,0,0,0,0,0,0
Ondrej Duda,FW,1344,0,0,0,0,2,0,4,0,4,8,1,8,4,0,0,0,0,0,0,0,0
Andrea Belotti,FW,1320,0,0,0,0,9,2,0,0,2,12,7,2,6,3,0,0,0,0,0,0,0
İlkay Gündoğan,"CM,LM",1314,0,0,0,0,1,0,2,0,3,2,1,0,6,3,0,0,0,0,0,0,0
Renato Sanches,LM,1314,0,0,0,0,4,1,0,0,4,6,0,8,6,9,0,0,0,0,0,0,0
Marko Arnautović,FW,1302,1,0,0,0,8,3,2,0,5,3,2,2,2,3,0,0,0,0,0,0,0
Kevin Mbabu,RB,1296,0,2,0,0,2,0,2,0,4,5,0,8,10,15,0,0,0,0,0,0,0
Che Adams,FW,1278,0,0,0,0,7,1,0,0,3,1,1,4,2,3,0,0,0,0,0,0,0
Grant Hanley,CB,1272,0,0,0,0,2,0,0,0,1,1,0,0,4,6,0,0,0,0,0,0,0
Duje Ćaleta-Car,CB,1260,0,0,0,0,0,0,4,0,6,0,0,0,8,12,0,0,0,0,0,0,0
Magomed Ozdoyev,CM,1260,0,0,0,0,4,0,2,0,4,2,0,10,8,9,0,0,0,0,0,0,0
Matvei Safonov,GK,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,0
Mateusz Klich,CM,1260,0,0,0,0,1,0,2,0,4,2,0,22,4,3,0,0,0,0,0,0,0
Loïc Nego,"RB,CM",1236,0,0,0,0,1,0,2,0,2,3,0,2,8,3,0,0,0,0,0,0,0
Bruno Fernandes,RM,1236,0,0,0,0,4,1,0,0,1,3,1,40,4,0,0,0,0,0,0,0,0
Cengiz Ünder,RM,1236,0,0,0,0,8,1,0,0,3,3,0,28,6,3,0,0,0,0,0,0,0
Mário Fernandes,WB,1230,0,0,0,0,2,1,0,0,0,4,0,6,4,6,0,0,0,0,0,0,0
Callum McGregor,CM,1224,1,0,0,0,2,1,0,0,1,1,0,2,4,9,0,0,0,0,0,0,0
Nikola Vlašić,RW,1218,1,0,0,0,3,1,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0
Ante Rebić,LW,1188,0,0,0,0,5,2,0,0,7,1,2,0,8,3,0,0,0,0,0,0,0
Ádám Szalai,FW,1176,1,4,0,0,5,4,2,0,4,7,1,4,0,6,0,0,0,0,0,0,0
Wout Weghorst,"FW,CB",1158,1,0,0,0,5,2,0,0,7,2,2,0,4,0,0,0,0,0,0,0,0
Tyrone Mings,CB,1152,0,0,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0,0,0
Matteo Pessina,RM,1152,2,0,0,0,4,3,2,0,2,1,1,0,4,6,0,0,0,0,0,0,0
Fabian Schär,CM,1146,0,0,0,0,2,1,2,0,3,2,0,0,0,6,0,0,0,0,0,0,0
Daler Kuzyaev,WB,1110,0,0,0,0,1,1,0,0,2,1,0,8,6,3,0,0,0,0,0,0,0
Taras Stepanenko,CM,1104,0,0,0,0,2,0,0,0,3,2,0,2,2,6,0,0,0,0,0,0,0
Antonín Barák,"CM,AM",1098,0,0,0,0,3,1,0,0,2,0,0,24,0,9,0,0,0,0,0,0,0
Dries Mertens,AM,1086,0,2,0,0,1,1,0,0,5,1,1,8,2,6,0,0,0,0,0,0,0
Šime Vrsaljko,RB,1080,0,0,0,0,0,0,0,0,2,1,0,20,2,3,0,0,0,0,0,0,0
Andreas Ulmer,"LW,LM",1080,0,0,0,0,0,0,0,0,0,1,0,12,2,0,0,0,0,0,0,0,0
Dedryck Boyata,CB,1080,0,0,0,0,0,0,0,0,1,0,0,0,4,9,0,0,0,0,0,0,0
Dejan Lovren,CB,1080,0,0,0,0,1,0,4,0,3,1,0,0,0,0,0,0,1,0,0,0,0
Jason Denayer,CB,1080,0,0,0,0,1,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0
Kieran Tierney,CB,1080,0,0,0,0,1,0,0,0,1,2,0,6,0,3,0,0,0,0,0,0,0
Kaan Ayhan,DM,1080,0,0,0,0,3,2,0,0,2,2,0,2,0,6,0,0,0,0,0,0,0
Lukáš Haraslín,RW,1080,0,0,0,0,3,0,0,0,1,8,1,2,4,6,0,0,0,0,0,0,0
Marcus Berg,"CM,FW",1068,0,0,0,0,2,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0
Jack Grealish,LW,1056,0,4,0,0,2,1,0,0,4,11,0,4,0,3,0,0,0,0,0,0,0
Aleksandar Trajkovski,LW,1044,0,0,0,0,6,2,2,0,7,0,0,4,0,6,0,0,0,0,0,0,0
Bruno Petković,FW,1032,0,0,0,0,2,0,0,0,4,7,3,0,0,6,0,0,0,0,0,0,0
Aleksei Miranchuk,AM,1032,1,0,0,0,2,1,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0
Ozan Tufan,CM,1026,0,0,0,0,2,0,0,0,1,2,0,0,2,6,0,0,0,0,0,0,0
Ruben Vargas,"RM,FW,RW",1020,0,0,0,0,1,0,0,0,0,3,2,10,6,9,0,0,0,0,0,0,0
Mikel Oyarzabal,RW,1002,1,0,0,0,9,4,0,0,0,1,0,18,0,3,0,0,0,0,0,0,0
Christian Nørgaard,"DM,LM,CM",996,0,0,0,0,0,0,0,0,1,3,0,2,2,9,0,0,0,0,0,0,0
Jeremy Doku,AM,990,0,0,0,0,3,1,0,0,3,5,0,8,0,0,0,1,0,0,0,0,0
Karol Świderski,"FW,WB",978,0,0,0,0,5,1,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0
Josip Juranović,RB,978,0,0,0,0,1,0,0,0,0,3,0,8,0,3,0,0,0,0,0,0,0
Umut Meraş,LB,966,0,0,0,0,1,0,0,0,2,0,0,4,2,12,0,0,0,0,0,0,0
Kenan Karaman,RM,960,0,0,0,0,2,0,0,0,3,2,0,2,0,6,0,0,0,0,0,0,0
Rafael Tolói,RB,954,0,2,0,0,2,0,2,0,4,0,0,4,4,6,0,0,0,0,0,0,0
Phil Foden,"LM,AM",948,0,0,0,0,2,0,2,0,3,2,1,8,0,0,0,0,0,0,0,0,0
Mario Gavranović,FW,930,1,0,0,0,1,1,4,0,4,2,5,2,0,0,0,0,0,0,0,0,0
João Moutinho,RM,924,0,0,0,0,3,0,0,0,1,3,0,12,4,6,0,0,0,0,0,0,0
Serhiy Kryvtsov,CB,924,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0
Jordan Henderson,DM,924,1,0,0,0,1,1,0,0,2,1,1,6,0,3,0,0,0,0,0,0,0
Tymoteusz Puchacz,WB,912,0,0,0,0,1,0,0,0,2,4,0,18,2,0,0,0,0,0,0,0,0
Stuart Armstrong,CM,900,0,0,0,0,2,0,0,0,2,1,0,8,4,3,0,0,0,0,0,0,0
Leander Dendoncker,"CM,WB",894,0,0,0,0,1,0,0,0,5,2,0,2,2,9,0,0,0,0,0,0,0
Donyell Malen,FW,894,0,4,0,0,3,0,0,0,1,3,1,6,0,0,0,0,0,0,0,0,0
Mathias Jensen,CM,876,0,2,0,0,2,0,2,0,4,1,0,30,0,0,0,0,0,0,0,0,0
Jurriën Timber,CB,852,0,0,0,0,1,1,0,0,1,1,0,0,10,3,0,0,0,0,0,0,0
Viktor Tsyhankov,LW,852,0,0,0,0,1,0,0,0,3,2,0,6,4,0,0,0,0,0,0,0,0
Leon Goretzka,CM,846,1,0,0,0,5,2,0,0,3,1,0,0,2,3,0,0,0,0,0,0,0
Grzegorz Krychowiak,CM,828,0,0,0,0,4,1,6,2,4,4,0,4,0,6,0,0,0,0,0,0,0
Yannick Carrasco,"AM,WB",828,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Neco Williams,RB,822,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0
William Carvalho,CM,822,0,0,0,0,0,0,0,0,2,1,0,4,4,3,0,0,0,0,0,0,0
Vyacheslav Karavayev,CB,822,0,0,0,0,0,0,0,0,0,0,1,6,8,0,0,0,0,0,0,0,0
Okay Yokuşlu,DM,816,0,0,0,0,0,0,0,0,1,4,0,0,4,9,0,0,0,0,0,0,0
Lucas Hernández,LB,810,0,0,0,0,0,0,2,0,3,3,0,2,0,3,0,0,0,0,0,0,0
Dmitri Barinov,CB,810,0,0,0,0,0,0,2,0,3,2,0,0,4,0,0,0,0,0,0,0,0
Bryan Cristante,RM,804,0,0,0,0,2,0,0,0,2,0,1,4,4,3,0,0,0,0,0,0,0
Tim Sparv,CM,798,0,0,0,0,0,0,2,0,2,1,0,0,2,12,0,0,0,0,0,0,0
Dejan Kulusevski,FW,792,0,4,0,0,3,1,2,0,2,2,1,4,0,0,0,0,0,0,0,0,0
Federico Bernardeschi,LW,774,0,0,0,0,4,1,0,0,0,2,1,18,4,6,0,0,0,0,0,0,0
Robin Quaison,FW,762,0,0,0,0,1,1,0,0,6,1,1,0,0,0,0,1,0,0,0,0,0
Alex Král,CM,762,0,0,0,0,1,0,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0
Denis Zakaria,"CM,DM",750,0,0,0,0,2,0,0,0,3,0,0,2,2,6,1,0,0,0,0,0,0
Jakub Hromada,DM,738,0,0,0,0,0,0,0,0,3,6,0,0,2,15,0,0,1,0,0,0,0
João Palhinha,CM,732,0,0,0,0,5,0,2,0,2,1,0,0,12,0,0,0,0,0,0,0,0
Boban Nikolov,DM,720,0,0,0,0,4,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0
