name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y,Price
Jack Grealish,"FW,MF",ENG,11620,9975,100,50,5045,56.0,15,5,20,15,0,0,30,0,10.5,10.5,12.5,23.0,435,250,730,1.35,0.4499999999999999,1.7999999999999998,1.35,1.7999999999999998,0.95,1.1,2.05,0.95,2.05,196,0,0,0,0,2,1,0,0,2,7,1,3,1,2,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,28-262,"FW,MF,FW,AM",4000000.0
Youssouf Fofana,MF,FRA,11620,9995,160,155,13485,150.0,20,20,40,20,0,0,15,0,25.0,25.0,17.0,42.0,265,1245,430,0.65,0.65,1.35,0.65,1.35,0.8500000000000001,0.55,1.4,0.8500000000000001,1.4,192,2,1,0,0,4,3,1,0,3,1,0,1,1,1,0,0,0,0,0,0,0.0,FRA-Ligue 1,Monaco,25-140,"MF,DM",3500000.0
Marten De Roon,"MF,DF",NED,11620,9955,150,145,12995,144.5,0,25,25,0,0,0,50,0,3.0,3.0,6.0,9.0,140,890,110,0.0,0.8500000000000001,0.8500000000000001,0.0,0.8500000000000001,0.1,0.2,0.3,0.1,0.3,186,1,0,0,0,2,1,0,0,4,3,0,0,6,1,0,0,0,0,0,0,0.0,ITA-Serie A,Atalanta,33-061,"CM,DF,MF,DM",3000000.0
Fabian Schär,DF,SUI,6972,5973,108,105,9162,101.7,12,3,15,12,0,0,15,0,7.5,7.5,2.1,9.9,84,399,60,0.36,0.09,0.4499999999999999,0.36,0.4499999999999999,0.21,0.06,0.3,0.21,0.3,181,0,0,0,0,3,0,0,0,1,2,0,1,0,3,0,0,0,0,0,0,0.0,ENG-Premier League,Newcastle Utd,32-161,"DF,CB",2500000.0
David Zima,DF,CZE,4648,4000,10,0,182,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,0,0,0,0,1,0,0,0,1,2,0,2,0,5,0,0,0,0,0,0,0.0,ITA-Serie A,Torino,23-203,CB,2500000.0
Gregor Kobel,GK,SUI,4648,3994,54,54,4730,52.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.25,GER-Bundesliga,Dortmund,26-175,GK,3500000.0
Silvan Widmer,DF,SUI,4648,3986,40,26,2484,27.6,2,6,8,2,0,0,8,0,2.8,2.8,7.0,9.6,62,108,126,0.14,0.44,0.58,0.14,0.58,0.2,0.5,0.7,0.2,0.7,180,1,0,0,0,2,1,1,0,2,1,0,6,1,2,0,0,0,0,0,0,0.0,GER-Bundesliga,Mainz 05,31-085,RB,3000000.0
David Raya,GK,ESP,4648,3990,64,64,5760,64.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0.33,ENG-Premier League,Arsenal,28-257,GK,4500000.0
Mateo Retegui,FW,ITA,6972,5997,87,78,6648,73.80000000000001,21,6,27,18,3,3,15,0,17.4,15.0,2.1,17.4,54,51,336,0.8400000000000001,0.24,1.11,0.72,0.96,0.72,0.09,0.81,0.6000000000000001,0.72,174,2,0,0,0,9,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0.0,ITA-Serie A,Genoa,25-030,FW,4500000.0
Ante Budimir,FW,CRO,4648,3982,66,58,4870,54.2,34,4,38,28,6,8,8,0,28.4,22.2,3.6,25.8,42,84,198,1.26,0.14,1.4,1.04,1.18,1.06,0.14,1.18,0.82,0.96,173,1,0,0,0,7,4,0,0,6,1,1,1,2,0,0,0,0,0,0,0,0.0,ESP-La Liga,Osasuna,32-312,FW,2500000.0
Benjamin Pavard,DF,FRA,6972,5988,69,63,5016,55.8,0,6,6,0,0,0,18,0,2.1,2.1,4.199999999999999,6.300000000000001,75,267,141,0.0,0.33,0.33,0.0,0.33,0.12,0.21,0.33,0.12,0.33,172,1,0,0,0,2,1,1,0,3,0,0,10,2,1,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,28-062,"DF,RB",4500000.0
Matthijs De Ligt,DF,NED,6972,5997,66,48,4170,46.2,6,0,6,6,0,0,15,0,5.1,5.1,0.3,5.699999999999999,48,294,18,0.39,0.0,0.39,0.39,0.39,0.33,0.03,0.36,0.33,0.36,171,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,GER-Bundesliga,Bayern Munich,24-291,"DF,CB",3500000.0
Ulisses Garcia,DF,SUI,6972,5988,39,30,2718,30.3,0,0,0,0,0,0,0,0,1.5,1.5,2.7,4.199999999999999,63,156,198,0.0,0.0,0.0,0.0,0.0,0.15,0.27,0.42,0.15,0.42,169,0,0,0,0,3,0,0,0,0,3,0,11,2,2,0,0,0,0,0,0,0.0,FRA-Ligue 1,Marseille,28-139,"LB,DF,RB",2000000.0
Leander Dendoncker,MF,BEL,4648,3990,11,1,143,1.6,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,5,2,0.76,0.0,0.76,0.76,0.76,0.68,0.0,0.68,0.68,0.68,166,0,0,0,0,2,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0.0,"ITA-Serie A,ENG-Premier League","Napoli,Aston Villa",29-044,CB,2500000.0
Frenkie De Jong,MF,NED,4648,3994,40,40,3268,36.4,4,0,4,4,0,0,14,0,1.4,1.4,4.4,5.8,138,336,76,0.22,0.0,0.22,0.22,0.22,0.08,0.24,0.32,0.08,0.32,166,0,0,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0.0,ESP-La Liga,Barcelona,27-017,"CM,DM",3500000.0
Marcus Thuram,FW,FRA,11620,9985,175,170,13435,149.5,65,35,100,65,0,0,15,0,71.5,71.5,18.5,90.0,340,235,960,2.2,1.15,3.35,2.2,3.35,2.4,0.6,3.0,2.4,3.0,164,2,0,0,0,13,5,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0.0,ITA-Serie A,Inter,26-297,"FW,MF,FW",5500000.0
Gianluca Scamacca,FW,ITA,13944,11994,168,102,8508,94.8,72,36,108,72,0,0,6,0,36.6,36.6,21.0,57.6,132,246,990,4.5600000000000005,2.28,6.84,4.5600000000000005,6.84,2.34,1.32,3.66,2.34,3.66,148,1,0,0,0,7,3,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0.0,ITA-Serie A,Atalanta,25-149,FW,4000000.0
Gianluca Mancini,DF,ITA,4648,3992,72,68,5738,63.8,8,2,10,8,0,0,18,0,3.8,3.8,2.2,6.0,76,278,26,0.26,0.06,0.32,0.26,0.32,0.12,0.08,0.2,0.12,0.2,148,0,0,0,0,2,0,0,0,4,3,0,0,1,1,0,0,0,0,0,0,0.0,ITA-Serie A,Roma,28-042,CB,3000000.0
Federico Chiesa,FW,ITA,4648,3994,66,50,4394,48.8,18,4,22,16,2,2,2,0,12.8,11.2,12.4,23.8,222,140,432,0.74,0.16,0.9,0.66,0.82,0.52,0.5,1.04,0.46,0.98,141,2,0,0,0,10,4,0,0,3,6,0,4,1,0,0,0,0,0,0,0,0.0,ITA-Serie A,Juventus,26-217,FW,6500000.0
Mattia Zaccagni,"FW,MF",ITA,4648,3990,56,48,3912,43.4,12,2,14,12,0,0,16,0,9.4,9.4,5.8,15.2,176,110,418,0.56,0.1,0.64,0.56,0.64,0.44,0.26,0.7,0.44,0.7,138,0,1,0,0,1,0,0,0,4,6,0,2,2,1,0,0,0,0,0,0,0.0,ITA-Serie A,Lazio,28-348,FW,3000000.0
Florian Kainz,"MF,FW",AUT,11620,9960,165,145,10985,122.0,25,20,45,0,25,25,20,0,25.0,5.0,16.5,21.5,200,620,500,1.0,0.8,1.85,0.0,0.8,1.0,0.65,1.7000000000000002,0.2,0.8999999999999999,131,1,0,0,0,5,3,0,0,1,2,1,16,1,0,0,0,0,0,0,0,0.0,GER-Bundesliga,Köln,31-218,"FW,MF,LW",2500000.0
Arda Güler,"FW,MF",TUR,6972,6015,30,12,1131,12.6,18,0,18,18,0,0,3,0,4.199999999999999,4.199999999999999,0.3,4.800000000000001,48,51,75,4.29,0.0,4.29,4.29,4.29,1.02,0.09,1.11,1.02,1.11,124,1,0,0,0,4,1,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0.0,ESP-La Liga,Real Madrid,19-094,"MF,AM",3000000.0
Klaus Gjasula,"DF,MF",ALB,11620,9945,110,85,6815,75.5,0,0,0,0,0,0,35,5,2.5,2.5,1.0,3.0,40,350,35,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.2,0.15,0.2,120,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0.0,GER-Bundesliga,Darmstadt 98,34-167,"DF,MF,DM",2000000.0
William Saliba,DF,FRA,6972,6003,114,114,10260,114.0,6,3,9,6,0,0,12,0,4.800000000000001,4.800000000000001,0.6000000000000001,5.4,48,471,18,0.15,0.09,0.24,0.15,0.24,0.12,0.03,0.15,0.12,0.15,118,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,ENG-Premier League,Arsenal,23-066,"DF,CB",4000000.0
Aster Vranckx,MF,BEL,6972,6006,72,36,3459,38.400000000000006,0,0,0,0,0,0,18,0,0.3,0.3,0.8999999999999999,1.2000000000000002,9,144,27,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,116,0,1,0,0,1,0,2,0,4,4,0,1,0,2,0,0,0,0,0,0,0.0,GER-Bundesliga,Wolfsburg,21-238,"MF,CM,DM",2500000.0
Charles De Ketelaere,"FW,MF",BEL,4648,4002,68,48,3906,43.4,20,14,34,18,2,2,2,0,14.2,12.6,11.0,23.6,172,240,428,0.92,0.64,1.56,0.82,1.48,0.66,0.5,1.16,0.58,1.08,115,1,0,0,0,2,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0.0,ITA-Serie A,Atalanta,23-080,"FW,MF,FW",3000000.0
Teun Koopmeiners,MF,NED,6972,5994,99,84,7611,84.6,36,15,51,30,6,6,15,0,19.200000000000003,14.4,17.4,31.8,234,498,561,1.29,0.54,1.7999999999999998,1.0499999999999998,1.59,0.6900000000000001,0.63,1.29,0.51,1.14,114,1,0,0,0,4,1,0,0,3,2,0,8,0,0,0,0,0,0,0,0,0.0,ITA-Serie A,Atalanta,26-091,"CM,DF,MF",4500000.0
Michel Aebischer,MF,SUI,6972,5991,108,78,6690,74.4,0,3,3,0,0,0,24,0,3.3000000000000003,3.3000000000000003,4.5,7.800000000000001,78,375,165,0.0,0.12,0.12,0.0,0.12,0.12,0.18,0.33,0.12,0.33,109,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0.0,ITA-Serie A,Bologna,27-144,"MF,CM",2500000.0
Stephan El Shaarawy,"FW,DF",ITA,4648,3984,66,38,3476,38.6,6,8,14,6,0,0,4,0,5.0,5.0,4.6,9.6,92,88,262,0.32,0.42,0.72,0.32,0.72,0.26,0.24,0.5,0.26,0.5,101,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,ITA-Serie A,Roma,31-215,"DF,FW,FW",3500000.0
Cedric Zesiger,DF,SUI,4648,3996,46,36,3268,36.4,0,0,0,0,0,0,10,0,2.6,2.6,0.0,2.8,28,162,6,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.16,0.14,0.16,99,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,GER-Bundesliga,Wolfsburg,25-340,"DF,CB",2000000.0
Conor Gallagher,MF,ENG,11620,10000,185,185,15640,174.0,25,35,60,25,0,0,45,5,21.0,21.0,25.0,46.0,310,860,610,0.7000000000000001,1.0,1.75,0.7000000000000001,1.75,0.6,0.75,1.35,0.6,1.35,95,0,0,0,0,2,1,0,0,2,3,0,0,1,2,0,0,0,0,0,0,0.0,ENG-Premier League,Chelsea,24-113,"MF,CM",4500000.0
Ozan Kabak,DF,TUR,4648,4000,56,56,4564,50.8,8,0,8,8,0,0,22,2,4.4,4.4,2.2,6.6,42,220,22,0.32,0.0,0.32,0.32,0.32,0.18,0.08,0.26,0.18,0.26,92,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0.0,GER-Bundesliga,Hoffenheim,24-065,"DF,CB",3000000.0
Ansu Fati,"MF,FW",ESP,4648,4004,22,3,571,6.4,2,0,2,2,0,0,2,0,4.1,4.1,0.8,4.9,22,32,55,0.35,0.0,0.35,0.35,0.35,1.93,0.14,2.0700000000000003,1.93,2.0700000000000003,90,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,"ENG-Premier League,ESP-La Liga","Brighton,Barcelona",21-211,FW,4000000.0
Martin Erlic,DF,CRO,2324,1998,32,31,2618,29.1,1,0,1,1,0,0,5,0,1.0,1.0,0.0,1.0,19,78,11,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,90,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0.0,ITA-Serie A,Sassuolo,26-126,CB,2500000.0
Marash Kumbulla,DF,ALB,2324,2000,7,3,362,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,ITA-Serie A,Sassuolo,24-111,CB,2000000.0
Kevin De Bruyne,MF,BEL,2324,1991,18,15,1221,13.6,4,10,14,4,0,0,2,0,2.4,2.4,11.5,14.0,47,111,133,0.29,0.74,1.03,0.29,1.03,0.18,0.85,1.03,0.18,1.03,90,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,32-336,CM,7000000.0
Alessandro Buongiorno,DF,ITA,2324,1999,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14,62,10,0.11,0.0,0.11,0.11,0.11,0.06,0.0,0.06,0.06,0.06,90,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0.0,ITA-Serie A,Torino,24-358,CB,3500000.0
Nuno Mendes,DF,POR,2324,2002,6,2,267,3.0,1,1,2,1,0,0,3,0,0.3,0.3,0.4,0.7,12,21,25,0.34,0.34,0.67,0.34,0.67,0.11,0.14,0.25,0.11,0.25,90,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0.0,FRA-Ligue 1,Paris S-G,21-345,LM,3000000.0
Romano Schmid,"MF,FW",AUT,6972,6000,99,90,7803,86.69999999999999,12,18,30,12,0,0,15,0,15.6,15.6,18.9,34.5,225,432,495,0.42,0.63,1.0499999999999998,0.42,1.0499999999999998,0.54,0.66,1.2000000000000002,0.54,1.2000000000000002,74,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,GER-Bundesliga,Werder Bremen,24-123,"MF,AM",2500000.0
Cole Palmer,"MF,FW,MF",ENG,9296,8008,68,58,5236,58.2,44,22,66,26,18,18,14,0,36.4,22.2,22.2,44.4,234,394,390,1.52,0.76,2.28,0.9,1.66,1.26,0.76,2.02,0.76,1.54,74,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0.0,ENG-Premier League,"Manchester City,Chelsea",22-023,"FW,MF",5500000.0
Lorenzo Pellegrini,MF,ITA,2324,1996,29,20,1859,20.7,8,3,11,7,1,1,7,0,4.8,4.0,2.4,6.4,43,94,97,0.39,0.15,0.53,0.34,0.48,0.23,0.12,0.35,0.19,0.31,68,0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0.0,ITA-Serie A,Roma,27-345,FW,3500000.0
Ollie Watkins,FW,ENG,2324,1995,37,37,3217,35.7,19,13,32,19,0,0,4,0,16.8,16.8,7.3,24.2,62,55,214,0.53,0.36,0.9,0.53,0.9,0.47,0.21,0.68,0.47,0.68,57,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,ENG-Premier League,Aston Villa,28-151,FW,4500000.0
Pedro Neto,"FW,MF",POR,4648,4000,40,36,3032,33.6,4,18,22,4,0,0,8,0,7.0,7.0,8.8,15.8,196,108,298,0.24,1.06,1.3,0.24,1.3,0.42,0.52,0.94,0.42,0.94,53,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0.0,ENG-Premier League,Wolves,24-081,"FW,MF",2500000.0
Riccardo Orsolini,"FW,MF",ITA,6972,5991,99,57,5376,59.7,30,6,36,24,6,9,6,0,22.200000000000003,15.0,13.2,28.200000000000003,153,213,525,1.5,0.3,1.7999999999999998,1.2000000000000002,1.5,1.11,0.66,1.77,0.75,1.41,49,0,0,0,0,1,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0.0,ITA-Serie A,Bologna,27-126,"FW,MF",4000000.0
Flavius Daniliuc,DF,AUT,2324,2001,14,8,744,8.3,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.5,8,37,2,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,ITA-Serie A,Salernitana,23-032,CB,2000000.0
Pedro Porro,DF,ESP,2324,1999,35,35,3089,34.3,3,7,10,3,0,0,3,0,2.9,2.9,7.2,10.1,57,194,158,0.09,0.2,0.29,0.09,0.29,0.09,0.21,0.3,0.09,0.3,45,0,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0.0,ENG-Premier League,Tottenham,24-259,RB,3000000.0
Philip Billing,MF,DEN,4648,3992,58,26,2796,31.0,4,4,8,4,0,0,6,2,5.0,5.0,6.4,11.4,44,106,126,0.26,0.26,0.52,0.26,0.52,0.32,0.42,0.72,0.32,0.72,40,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,ENG-Premier League,Bournemouth,27-353,MF,2500000.0
Lazar Samardzic,MF,SRB,6972,6006,102,84,7116,79.19999999999999,18,6,24,15,3,3,9,0,10.5,8.399999999999999,16.5,24.9,195,249,273,0.6900000000000001,0.24,0.8999999999999999,0.5700000000000001,0.81,0.39,0.63,1.02,0.33,0.93,37,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,ITA-Serie A,Udinese,22-095,MF,2500000.0
Jeremie Frimpong,DF,NED,2324,2000,31,27,2251,25.0,9,7,16,9,0,0,6,0,8.2,8.2,5.9,14.0,153,49,348,0.36,0.28,0.64,0.36,0.64,0.33,0.23,0.56,0.33,0.56,29,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,GER-Bundesliga,Leverkusen,23-171,"DF,MF",5000000.0
Micky Van De Ven,DF,NED,4648,4002,54,54,4678,52.0,6,0,6,6,0,0,10,0,1.2,1.2,0.0,1.2,38,216,18,0.24,0.0,0.24,0.24,0.24,0.04,0.0,0.04,0.04,0.04,28,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0.0,ENG-Premier League,Tottenham,23-040,DF,2500000.0
Warren Zaire-Emery,"MF,DF",FRA,2324,2006,26,21,1962,21.8,2,3,5,2,0,0,4,0,1.4,1.4,3.2,4.5,54,116,90,0.09,0.14,0.23,0.09,0.23,0.06,0.14,0.21,0.06,0.21,19,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,FRA-Ligue 1,Paris S-G,18-082,DM,3500000.0
Jakub Moder,"MF,DF",POL,2324,1999,17,6,618,6.9,0,0,0,0,0,0,2,0,0.6,0.6,0.8,1.3,10,23,26,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.2,0.08,0.2,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,ENG-Premier League,Brighton,25-052,MF,2000000.0
Alex Baena,"MF,FW",ESP,2324,2001,34,33,2579,28.7,2,14,16,2,0,1,11,1,7.9,7.1,9.2,16.3,84,165,181,0.07,0.49,0.56,0.07,0.56,0.27,0.32,0.6,0.25,0.57,15,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,ESP-La Liga,Villarreal,22-314,"FW,MF",2500000.0
Saba Sazonov,DF,GEO,2324,2002,12,2,356,4.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,8,0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,ITA-Serie A,Torino,22-118,DF,2000000.0
Ivan Toney,FW,ENG,2324,1996,17,16,1450,16.1,4,2,6,4,0,0,5,0,6.0,6.0,1.5,7.4,23,40,98,0.25,0.12,0.37,0.25,0.37,0.37,0.09,0.46,0.37,0.46,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,ENG-Premier League,Brentford,28-074,FW,3000000.0
Arthur Vermeeren,MF,BEL,2324,2005,5,2,162,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ESP-La Liga,Atlético Madrid,19-112,MF,2500000.0
